datetime,R5,R4,R3,Pivot,S3,S4,S5,open,high,low,close,dayVolume
07-10-2021 12:10,381.0988576,364.455,354.8025,351.4166667,335.4975,325.845,309.2011424,360,360,336,345.3,66830
08-10-2021 12:10,369.9642857,358.5,351.9,347.1,338.7,332.1,320.6357143,344,362.55,344,362.1,166705
11-10-2021 12:10,381.626032,372.3025,367.20125,356.2166667,356.99875,351.8975,342.573968,361,372.75,347.25,360.9,98386
12-10-2021 12:10,387.4023758,374.925,367.9125,360.3,353.8875,346.875,334.3976242,369,373.35,344,362.9,105436
13-10-2021 12:10,393.8625436,379.0425,370.97125,360.0833333,354.82875,346.7575,331.9374564,366.8,367.5,346,350.95,123902
14-10-2021 12:10,372.7575867,362.775,356.8625,354.8166667,345.0375,339.125,329.1424133,356,368.45,346,368.45,228818
18-10-2021 12:10,392.3566546,380.7975,374.62375,360.9666667,362.27625,356.1025,344.5433454,386.85,386.85,378,386.85,299085
19-10-2021 12:10,395.9072024,391.7175,389.28375,383.9,384.41625,381.9825,377.7927976,399.9,399.9,367.55,367.55,214288
20-10-2021 12:10,399.9,385.3425,376.44625,378.3333333,358.65375,349.7575,335.2,349.2,349.2,349.2,349.2,8628
21-10-2021 12:10,349.2,349.2,349.2,349.2,349.2,349.2,349.2,331.75,331.75,331.75,331.75,10438
22-10-2021 12:10,331.75,331.75,331.75,331.75,331.75,331.75,331.75,320,348,315.2,315.2,144057
25-10-2021 12:10,348,333.24,324.22,326.1333333,306.18,297.16,282.4,305.3,314.8,299.45,299.45,102059
26-10-2021 12:10,314.8,307.8925,303.67125,304.5666667,295.22875,291.0075,284.1,299.45,314.4,293.5,309.7,88983
27-10-2021 12:10,331.7535945,321.195,315.4475,305.8666667,303.9525,298.205,287.6464055,305.25,311.9,295.15,301.75,102033
28-10-2021 12:10,318.8745553,310.9625,306.35625,302.9333333,297.14375,292.5375,284.6254447,306.5,306.5,288,298.3,87034
29-10-2021 12:10,317.4616319,308.475,303.3875,297.6,293.2125,288.125,279.1383681,299.9,305,285.2,296.25,45959
01-11-2021 12:11,316.8171459,307.14,301.695,295.4833333,290.805,285.36,275.6828541,300,311.05,286.9,295.4,125905
